longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,phone,forwardPE,currentPrice,recommendationKey,marketCap,recommendationMean
"The index measures the performance of the total U.S. investment-grade bond market. The fund will invest at least 80% of its assets in the component securities of the underlying index and TBAs that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index.",86400,2,97.0777,97.34,97.05,97.5375,97.0777,97.34,97.05,97.5375,123.94133,9976859,9976859,8818321,7133400,7133400,96.27,97.13,1100,1300,0.0374,119716577280,94.85,102.04,97.534,98.2582,2.48,0.025546547,96.98653,USD,Intermediate Core Bond,0.0011351999,1.0,iShares,1064188800,Exchange Traded Fund,-0.0174888,-0.0057324,PCX,ETF,AGG,AGG,iShares Core U.S. Aggregate Bon,iShares Core U.S. Aggregate Bond ETF,1064842200,America/New_York,EST,016055e4-6070-38a1-9f04-f8c26e2c385a,finmb_6180097,-18000000,,1-800-474-2737,,,,,
"The fund generally invests at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents, including shares of money market funds advised by BFA or its affiliates, as well as in securities not included in the underlying index, but which BFA believes will help the fund track the underlying index. It is non-diversified.",86400,2,409.31,401.27,399.8015,407.4954,409.31,401.27,399.8015,407.4954,37.369987,1108780,1108780,1560721,1659500,1659500,380.0,439.2,900,800,0.0046,106402578432,315.24,419.53,405.9222,372.02704,1.521,0.00371601,415.68906,USD,Large Growth,0.0346382,1.13,iShares,958953600,Exchange Traded Fund,0.16248211,0.186187,PCX,ETF,IWF,IWF,iShares Russell 1000 Growth ETF,iShares Russell 1000 Growth ETF,959347800,America/New_York,EST,25ad7364-0e7b-3e44-a51e-5fbe7e6170d8,finmb_8797643,-18000000,,1-800-474-2737,,,,,
"The index measures the performance of the mid-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",86400,2,64.65,63.32,63.04,64.305,64.65,63.32,63.04,64.305,19.831362,11727970,11727970,8564158,8124550,8124550,64.12,65.05,1400,3100,0.013300001,94736637952,54.14,68.33,64.6676,61.49255,2.809,0.043449342,65.41124,USD,Mid-Cap Blend,0.049590804,1.09,iShares,958953600,Exchange Traded Fund,0.091662906,0.113448404,PCX,ETF,IJH,IJH,iShares Core S&P Mid-Cap ETF,iShares Core S&P Mid-Cap ETF,959347800,America/New_York,EST,6a5b52bc-75c6-339e-aba2-7ee9bd7a6919,finmb_8798152,-18000000,,1-800-474-2737,,,,,
"The index measures the performance of the small-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",86400,2,118.44,115.97,115.4202,117.83,118.44,115.97,115.4202,117.83,17.80759,6266734,6266734,4002920,3756260,3756260,117.28,118.6,1200,1100,0.020499999,87528144896,101.85,128.61,119.8652,113.98095,1.267,0.010697399,119.11163,USD,Small Blend,0.0334143,1.11,iShares,958953600,Exchange Traded Fund,0.0524361,0.0910925,PCX,ETF,IJR,IJR,iShares Core S&P Small-Cap ETF,iShares Core S&P Small-Cap ETF,959347800,America/New_York,EST,157aab75-8e0e-318d-b915-b2d3a479304a,finmb_8798175,-18000000,,1-800-474-2737,,,,,
"The adviser employs an indexing investment approach designed to track the performance of the index, which consists of common stocks of companies that have a record of increasing dividends over time. The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,202.22,199.79,199.41,202.3489,202.22,199.79,199.41,202.3489,25.98857,1400866,1400866,1157685,1123800,1123800,202.01,202.75,800,800,0.0173,103017144320,172.54,205.2,199.8168,191.6538,,,202.28,USD,Large Blend,0.0328857,0.84,Vanguard,1145577600,Exchange Traded Fund,0.1006176,0.1169488,PCX,ETF,VIG,VIG,Vanguard Div Appreciation ETF,Vanguard Dividend Appreciation Index Fund ETF Shares,1146576600,America/New_York,EST,71b36b48-eb42-3229-adad-60b4e81bae59,finmb_26955607,-18000000,,6106696295,,,,,
"The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.",86400,2,616.61,601.51,598.135,611.33,616.61,601.51,598.135,611.33,37.1682,973916,973916,543215,662900,662900,611.62,614.0,900,1000,0.006,99343319040,478.25,648.76,628.3104,580.46045,,,640.05,USD,Technology,0.0294789,1.27,Vanguard,1075075200,Exchange Traded Fund,0.173531,0.20684,PCX,ETF,VGT,VGT,Vanguard Information Tech ETF,Vanguard Information Technology Index Fund ETF Shares,1075473000,America/New_York,EST,d7097204-286f-389a-a160-f564c4986dd0,finmb_22939099,-18000000,,,,,,,
"The index measures the investment return of stocks issued by companies located in emerging market countries. The fund employs an indexing investment approach designed to track the performance of the FTSE Emerging Markets All Cap China A Inclusion Index. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the index in terms of key characteristics.",86400,2,44.4,43.75,43.665,44.3764,44.4,43.75,43.665,44.3764,14.404578,14673592,14673592,8279653,7683500,7683500,43.94,44.88,4000,47300,0.0319,108964061184,39.49,49.57,44.884,44.7777,1.122,0.025270268,44.5,USD,Diversified Emerging Mkts,0.0122616,0.87,Vanguard,1151020800,Exchange Traded Fund,0.0041233,0.0328025,PCX,ETF,VWO,VWO,Vanguard FTSE Emerging Markets ,Vanguard Emerging Markets Stock Index Fund,1110465000,America/New_York,EST,f23f05c2-db41-3509-a464-d6b8e18199e2,finmb_20936186,-18000000,,,,,,,
"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure large-, mid- and small-cap equity market performance in the global emerging markets.",86400,2,52.99,52.17,52.12,52.94,52.99,52.17,52.12,52.94,13.860932,12269846,12269846,8559496,7847450,7847450,51.81,54.0,1000,3200,0.0319,78073012224,48.56,59.0,53.385,54.06865,1.16,0.021890922,53.30168,USD,Diversified Emerging Mkts,0.0216392,0.97,iShares,1350518400,Exchange Traded Fund,-0.0043698,0.0269893,PCX,ETF,IEMG,IEMG,iShares Core MSCI Emerging Mark,iShares Core MSCI Emerging Markets ETF,1351085400,America/New_York,EST,c6116829-8fb8-3905-afdd-70587e04c88f,finmb_223308554,-18000000,,,,,,,
"The manager employs an indexing investment approach designed to track the performance of the FTSE Global All Cap ex US Index, a float-adjusted market-capitalization-weighted index designed to measure equity market performance of companies located in developed and emerging markets, excluding the United States. The fund invests all, or substantially all, of its assets in the common stocks included in its target index.",86400,2,60.92,59.831,59.75,60.635,60.92,59.831,59.75,60.635,15.622313,4974609,4974609,3931405,3432450,3432450,60.28,62.38,100,100,0.0337,431861202944,56.48,65.52,60.4568,61.3698,,,60.98,USD,Foreign Large Blend,0.036484,1.03,Vanguard,1290988800,Exchange Traded Fund,0.031319,0.0502633,NGM,ETF,VXUS,VXUS,Vanguard Total International St,Vanguard Total International Stock Index Fund ETF Shares,1296225000,America/New_York,EST,22bb70bd-8cb6-3888-bfe8-dfaab2c008e6,finmb_118888015,-18000000,,800-523-1036,,,,,
"The Trust holds gold bars and from time to time, issues Baskets in exchange for deposits of gold and distributes gold in connection with redemptions of Baskets. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trust’s expenses. The Sponsor believes that, for many investors, the Shares represent a cost-effective investment in gold.",86400,2,258.56,259.75,259.5236,261.3897,258.56,259.75,259.5236,261.3897,,11380132,11380132,6719115,7379350,7379350,259.59,259.4,1400,900,,73215074304,183.78,261.3897,246.4444,233.3218,,,256.2547,USD,Commodities Focused,0.0558378,0.18,SPDR State Street Global Advisors,1100736000,Exchange Traded Fund,0.1411617,0.1155487,PCX,ETF,GLD,GLD,SPDR Gold Trust,SPDR Gold Shares,1100788200,America/New_York,EST,b8aa1c71-9a1e-30a9-98e6-c05878a4fef3,finmb_5600649,-18000000,,,,,,,
"The fund employs an indexing investment approach designed to track the performance of the CRSP US Mid Cap Index, a broadly diversified index of stocks of mid-size U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,275.61,271.4,270.4562,275.64,275.61,271.4,270.4562,275.64,23.511557,644136,644136,648090,574310,574310,275.4,278.5,1800,1000,0.0149,176866672640,228.72,285.6,274.0126,257.61066,2.996,0.010870433,277.28,USD,Mid-Cap Blend,0.0499754,1.07,Vanguard,1075075200,Exchange Traded Fund,0.078224905,0.1044985,PCX,ETF,VO,VO,Vanguard Mid-Cap ETF,Vanguard Mid-Cap Index Fund ETF Shares,1075473000,America/New_York,EST,e984ea8b-e853-31e6-8331-3e8e1d7eb849,finmb_28122059,-18000000,,800-523-1036,,,,,
"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",86400,2,226.48,221.51,220.67,225.53,226.48,221.51,220.67,225.53,17.65404,33577971,33577971,27638183,23956910,23956910,225.35,225.4,800,900,0.0115,72184496128,190.06,244.98,229.2942,216.4996,2.017,0.008905863,228.68388,USD,Small Blend,0.0349837,1.15,iShares,958953600,Exchange Traded Fund,0.0574187,0.080849305,PCX,ETF,IWM,IWM,iShares Russell 2000 ETF,iShares Russell 2000 ETF,959347800,America/New_York,EST,600ed58e-8501-353d-a7c7-902732abdc68,finmb_8797658,-18000000,,1-800-474-2737,,,,,
"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which consists of all of the of the S&P 500® Index.",86400,2,181.24,178.915,177.7,180.895,181.24,178.915,177.7,180.895,21.74272,23153714,23153714,7051723,8820730,8820730,180.76,180.47,900,1100,0.0152,71838949376,156.13,188.16,180.6444,173.1914,2.01,0.0110902665,182.23,USD,Large Blend,0.0397192,1.0,Invesco,1051142400,Exchange Traded Fund,0.075286396,0.112310894,PCX,ETF,RSP,RSP,Invesco S&P 500 Equal Weight ET,Invesco S&P 500 Equal Weight ETF,1051795800,America/New_York,EST,39b097df-341e-30b1-ba20-6babdba89ea1,finmb_8795276,-18000000,,,,,,,
"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.",86400,2,230.81,225.7,224.5,229.0899,230.81,225.7,224.5,229.0899,36.85625,6860361,6860361,4451460,4927040,4927040,230.11,231.0,1000,800,0.0066000004,72766103552,190.75,242.58,235.0848,223.1288,1.103,0.004778823,239.36955,USD,Technology,0.029158799,1.24,SPDR State Street Global Advisors,913766400,Exchange Traded Fund,0.1651931,0.20776011,PCX,ETF,XLK,XLK,SPDR Select Sector Fund - Techn,The Technology Select Sector SPDR Fund,914337000,America/New_York,EST,831b3a60-ccb6-34f6-850a-b0a55559f044,finmb_8795639,-18000000,,,,,,,
"To pursue its goal, the fund generally invests in stocks that are included in the index. The index is designed to measure the performance of high dividend yielding stocks issued by U.S. companies that have a record of consistently paying dividends, selected for fundamental strength relative to their peers, based on financial ratios. The fund will invest at least 90% of its net assets in these stocks.",86400,2,27.83,27.54,27.4,27.828,27.83,27.54,27.4,27.828,18.387985,18597634,18597634,15012678,15742630,15742630,27.79,27.74,40700,42300,0.0364,65523904512,25.16,29.72,28.1176,27.345633,,,28.06,USD,Large Value,0.0274524,0.77,Schwab ETFs,1319068800,Exchange Traded Fund,0.0636751,0.1130042,PCX,ETF,SCHD,SCHD,Schwab US Dividend Equity ETF,Schwab U.S. Dividend Equity ETF,1319117400,America/New_York,EST,51763995-7570-386d-806d-a25eca52c2b1,finmb_141947998,-18000000,,1-800-435-4000,,,,,
"The index consists of all U.S. common equities listed on the NYSE, the NASDAQ Global Select Market, the NASDAQ Select Market, the NASDAQ Capital Market, Cboe BZX, Cboe BYX, Cboe EDGA and Cboe EDGX, Inc. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",86400,2,132.49,130.24,129.8401,132.07,132.49,130.24,129.8401,132.07,26.775257,1907983,1907983,1294008,1212680,1212680,131.29,133.91,1200,800,0.0123000005,64183414784,107.61,134.51,131.4894,123.2441,1.246,0.009404483,133.77686,USD,Large Blend,0.0401182,1.02,iShares,1074556800,Exchange Traded Fund,0.1240433,0.1423736,PCX,ETF,ITOT,ITOT,iShares Core S&P Total U.S. Sto,iShares Core S&P Total U.S. Stock Market ETF,1074868200,America/New_York,EST,8186f487-d69a-3896-9eea-d55f8a71d75d,finmb_8797797,-18000000,,1-800-474-2737,,,,,
"The fund advisor employs an indexing investment approach designed to track the performance of the CRSP US Small Cap Index, a broadly diversified index of stocks of small U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,249.64,244.3,243.1726,248.1585,249.64,244.3,243.1726,248.1585,19.681116,1006382,1006382,805666,636140,636140,247.24,249.0,1000,800,0.012999999,155268792320,205.93,263.35,249.68,233.17105,2.557,0.010242749,251.8,USD,Small Blend,0.047985703,1.13,Vanguard,1075075200,Exchange Traded Fund,0.082541905,0.1019739,PCX,ETF,VB,VB,Vanguard Small-Cap ETF,Vanguard Small-Cap Index Fund ETF Shares,1075473000,America/New_York,EST,952e1086-49ee-34b6-86c2-431edc8fcd17,finmb_22939707,-18000000,,800-523-1036,,,,,
"The fund generally invests at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",86400,2,193.54,191.02,190.2,193.45,193.54,191.02,190.2,193.45,20.493591,2072950,2072950,2763355,2658950,2658950,192.75,206.22,900,800,0.0188,62979850240,164.34,200.42,191.4736,184.1802,2.625,0.013563088,193.83801,USD,Large Value,0.0467779,0.89,iShares,958953600,Exchange Traded Fund,0.083740994,0.09479961,PCX,ETF,IWD,IWD,iShares Russell 1000 Value ETF,iShares Russell 1000 Value ETF,959347800,America/New_York,EST,d3ae11cd-57b8-3b15-8b9b-38e43e8b3ac4,finmb_8797655,-18000000,,1-800-474-2737,,,,,
"The fund employs an indexing investment approach designed to track the performance of the Bloomberg Global Aggregate ex-USD Float Adjusted RIC Capped Index (USD Hedged). This index provides a broad-based measure of the global, investment-grade, fixed-rate debt markets. It is non-diversified.",86400,2,49.0671,49.32,49.1942,49.3599,49.0671,49.32,49.1942,49.3599,,3928726,3928726,3072163,2739750,2739750,49.22,49.23,100,300,0.0418,99473793024,48.19,50.7,49.5928,49.4329,,,48.78,USD,Global Bond-USD Hedged,-0.0034659002,0.71,Vanguard,1369958400,Exchange Traded Fund,-0.0045829,-0.0020905,NGM,ETF,BNDX,BNDX,Vanguard Total International Bo,Vanguard Total International Bond Index Fund,1370352600,America/New_York,EST,dfce0a31-4f72-3591-8593-3837862a7203,finmb_204607725,-18000000,,,,,,,
"The manager employs an indexing investment approach designed to track the performance of the index, which consists of common stocks of companies that pay dividends that generally are higher than average. The adviser attempts to replicate the target index by investing all, or substantially all, of the fund's assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,132.36,130.72,130.2727,132.3216,132.36,130.72,130.2727,132.3216,20.479712,1652244,1652244,1234493,1377630,1377630,130.87,132.72,900,900,0.0274,73420357632,111.31,135.07,130.7938,125.1487,,,133.08,USD,Large Value,0.0428717,0.77,Vanguard,1163116800,Exchange Traded Fund,0.0983058,0.1070078,PCX,ETF,VYM,VYM,Vanguard High Dividend Yield ET,Vanguard High Dividend Yield Index Fund ETF Shares,1163687400,America/New_York,EST,025a7501-0342-3f56-b3d4-85ae7d0c5565,finmb_30273256,-18000000,,,,,,,
"The shares are intended to constitute a simple means of making an investment similar to an investment in bitcoin rather than by acquiring, holding and trading bitcoin directly on a peer-to-peer or other basis or via a digital asset exchange.",86400,2,57.71,53.95,53.69,58.135,57.71,53.95,53.69,58.135,,72649777,72649777,54110680,54090170,54090170,57.43,57.77,1000,1000,,51744460800,24.13,61.75,56.0632,41.555374,,,59.88078,USD,Digital Assets,0.1253534,,iShares,1704412800,Exchange Traded Fund,,,NGM,ETF,IBIT,IBIT,iShares Bitcoin Trust ETF,iShares Bitcoin Trust,1704983400,America/New_York,EST,bb69a662-7dc9-33db-a669-5b4970898112,finmb_1843774300,-18000000,,,,,,,
"The index measures the performance of the large-capitalization growth sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified.",86400,2,104.19,102.12,101.8072,103.83,104.19,102.12,101.8072,103.83,33.674065,2634562,2634562,1872823,1865460,1865460,101.1,104.05,900,3000,0.0043,56361639936,79.07,107.14,102.8042,94.40005,0.437,0.0041942606,106.29634,USD,Large Growth,0.0465872,1.11,iShares,958953600,Exchange Traded Fund,0.1362859,0.17036961,PCX,ETF,IVW,IVW,iShares S&P 500 Growth ETF,iShares S&P 500 Growth ETF,959347800,America/New_York,EST,ba849538-63bb-3ad2-895e-f2d35563e543,finmb_8798061,-18000000,,1-800-474-2737,,,,,
