symbol;fund_name;asset_class;assets;maxAge;ytdReturn;fiftyTwoWeekLow;fiftyTwoWeekHigh;fiftyDayAverage;navPrice;currency;category;threeYearAverageReturn;fiveYearAverageReturn;longBusinessSummary;bid;ask;bidSize;askSize
AGG;iShares Core U.S. Aggregate Bond ETF;Fixed Income;1,2113E+14;86400;11351999;9485;10204;97534;9698653;USD;Intermediate Core Bond;-174888;-57324;The index measures the performance of the total U.S. investment-grade bond market. The fund will invest at least 80% of its assets in the component securities of the underlying index and TBAs that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index.;9627;9713;1100;1300
IWF;iShares Russell 1000 Growth ETF;Equity;1,0714E+14;86400;346382;31524;41953;4059222;41568906;USD;Large Growth;16248211;186187;The fund generally invests at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents, including shares of money market funds advised by BFA or its affiliates, as well as in securities not included in the underlying index, but which BFA believes will help the fund track the underlying index. It is non-diversified.;3800;4392;900;800
IJH;iShares Core S&P Mid-Cap ETF;Equity;1,004E+14;86400;49590804;5414;6833;646676;6541124;USD;Mid-Cap Blend;91662906;113448404;The index measures the performance of the mid-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;6412;6505;1400;3100
IJR;iShares Core S&P Small Cap ETF;Equity;9,047E+13;86400;334143;10185;12861;1198652;11911163;USD;Small Blend;524361;910925;The index measures the performance of the small-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;11728;1186;1200;1100
VIG;Vanguard Dividend Appreciation ETF;Equity;8,974E+13;86400;328857;17254;2052;1998168;20228;USD;Large Blend;1006176;1169488;The adviser employs an indexing investment approach designed to track the performance of the index, which consists of common stocks of companies that have a record of increasing dividends over time. The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;20201;20275;800;800
VGT;Vanguard Information Technology ETF;Equity;8,736E+13;86400;294789;47825;64876;6283104;64005;USD;Technology;173531;20684;The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.;61162;6140;900;1000
VWO;Vanguard FTSE Emerging Markets ETF;Equity;8,033E+13;86400;122616;3949;4957;44884;445;USD;Diversified Emerging Mkts;41233;328025;The index measures the investment return of stocks issued by companies located in emerging market countries. The fund employs an indexing investment approach designed to track the performance of the FTSE Emerging Markets All Cap China A Inclusion Index. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the index in terms of key characteristics.;4394;4488;4000;47300
IEMG;iShares Core MSCI Emerging Markets ETF;Equity;7,963E+13;86400;216392;4856;590;53385;5330168;USD;Diversified Emerging Mkts;-43698;269893;The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure large-, mid- and small-cap equity market performance in the global emerging markets.;5181;540;1000;3200
VXUS;Vanguard Total International Stock ETF;Equity;7,836E+13;86400;36484;5648;6552;604568;6098;USD;Foreign Large Blend;31319;502633;The manager employs an indexing investment approach designed to track the performance of the FTSE Global All Cap ex US Index, a float-adjusted market-capitalization-weighted index designed to measure equity market performance of companies located in developed and emerging markets, excluding the United States. The fund invests all, or substantially all, of its assets in the common stocks included in its target index.;6028;6238;100;100
GLD;SPDR Gold Shares;Commodity;7,747E+13;86400;558378;18378;2613897;2464444;2562547;USD;Commodities Focused;1411617;1155487;The Trust holds gold bars and from time to time, issues Baskets in exchange for deposits of gold and distributes gold in connection with redemptions of Baskets. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trust’s expenses. The Sponsor believes that, for many investors, the Shares represent a cost-effective investment in gold.;25959;2594;1400;900
VO;Vanguard Mid-Cap ETF;Equity;7,667E+13;86400;499754;22872;2856;2740126;27728;USD;Mid-Cap Blend;78224905;1044985;The fund employs an indexing investment approach designed to track the performance of the CRSP US Mid Cap Index, a broadly diversified index of stocks of mid-size U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;2754;2785;1800;1000
IWM;iShares Russell 2000 ETF;Equity;7,577E+13;86400;349837;19006;24498;2292942;22868388;USD;Small Blend;574187;80849305;The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;22535;2254;800;900
RSP;Invesco S&P 500 Equal Weight ETF;Equity;7,554E+13;86400;397192;15613;18816;1806444;18223;USD;Large Blend;75286396;112310894;The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which consists of all of the of the S&P 500® Index.;18076;18047;900;1100
XLK;Technology Select Sector SPDR Fund;Equity;7,342E+13;86400;29158799;19075;24258;2350848;23936955;USD;Technology;1651931;20776011;In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.;23011;2310;1000;800
SCHD;Schwab US Dividend Equity ETF;Equity;6,798E+13;86400;274524;2516;2972;281176;2806;USD;Large Value;636751;1130042;To pursue its goal, the fund generally invests in stocks that are included in the index. The index is designed to measure the performance of high dividend yielding stocks issued by U.S. companies that have a record of consistently paying dividends, selected for fundamental strength relative to their peers, based on financial ratios. The fund will invest at least 90% of its net assets in these stocks.;2779;2774;40700;42300
ITOT;iShares Core S&P Total U.S. Stock Market ETF;Equity;6,665E+13;86400;401182;10761;13451;1314894;13377686;USD;Large Blend;1240433;1423736;The index consists of all U.S. common equities listed on the NYSE, the NASDAQ Global Select Market, the NASDAQ Select Market, the NASDAQ Capital Market, Cboe BZX, Cboe BYX, Cboe EDGA and Cboe EDGX, Inc. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;13129;13391;1200;800
VB;Vanguard Small-Cap ETF;Equity;6,66E+13;86400;47985703;20593;26335;24968;2518;USD;Small Blend;82541905;1019739;The fund advisor employs an indexing investment approach designed to track the performance of the CRSP US Small Cap Index, a broadly diversified index of stocks of small U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;24724;2490;1000;800
IWD;iShares Russell 1000 Value ETF;Equity;6,283E+13;86400;467779;16434;20042;1914736;19383801;USD;Large Value;83740994;9479961;The fund generally invests at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;19275;20622;900;800
BNDX;Vanguard Total International Bond ETF;Fixed Income;6,252E+13;86400;-34659002;4819;507;495928;4878;USD;Global Bond-USD Hedged;-45829;-20905;The fund employs an indexing investment approach designed to track the performance of the Bloomberg Global Aggregate ex-USD Float Adjusted RIC Capped Index (USD Hedged). This index provides a broad-based measure of the global, investment-grade, fixed-rate debt markets. It is non-diversified.;4922;4923;100;300
VYM;Vanguard High Dividend Yield Index ETF;Equity;6,188E+13;86400;428717;11131;13507;1307938;13308;USD;Large Value;983058;1070078;The manager employs an indexing investment approach designed to track the performance of the index, which consists of common stocks of companies that pay dividends that generally are higher than average. The adviser attempts to replicate the target index by investing all, or substantially all, of the fund's assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;13087;13272;900;900
IBIT;iShares Bitcoin Trust ETF;Currency;6,111E+13;86400;1253534;2413;6175;560632;5988078;USD;Digital Assets;;;The shares are intended to constitute a simple means of making an investment similar to an investment in bitcoin rather than by acquiring, holding and trading bitcoin directly on a peer-to-peer or other basis or via a digital asset exchange.;5743;5777;1000;1000
IVW;iShares S&P 500 Growth ETF;Equity;5,859E+13;86400;465872;7907;10714;1028042;10629634;USD;Large Growth;1362859;17036961;The index measures the performance of the large-capitalization growth sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified.;1011;10405;900;3000
SPLG;SPDR Portfolio S&P 500 ETF;Equity;5,844E+13;86400;372788;5767;7185;702898;715266;USD;Large Blend;13115281;1488762;Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of the large-capitalization segment of the U.S. equity market.;7064;7064;1200;3100
EFA;iShares MSCI EAFE ETF;Equity;5,62E+13;86400;478773;7391;8456;775576;7921105;USD;Foreign Large Blend;46176802;567848;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted, market capitalization-weighted index designed to measure large- and mid-capitalization equity market performance of developed markets outside of the U.S. and Canada.;7852;8111;1000;1000
XLF;Financial Select Sector SPDR Fund;Equity;5,41E+13;86400;521415;3842;5204;496938;5083264;USD;Financial;11925589;13055101;"The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Financial companies by the Global Industry Classification Standard, including securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. The fund is non-diversified.";515;5157;21500;41800
SCHX;Schwab U.S. Large-Cap ETF;Equity;5,369E+13;86400;40983602;1935;6602;236784;2412;USD;Large Blend;1296467;1476386;To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Total Stock Market Index. The index includes the large-cap portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Total Stock Market Index includes the components ranked 1-750 by full market capitalization. The index is a float-adjusted market capitalization weighted index. The fund is non-diversified.;2379;2394;43500;29200
QUAL;iShares MSCI USA Quality Factor ETF;Equity;5,179E+13;86400;33805;15338;18726;1820172;184084;USD;Large Blend;1317557;1385768;The fund generally will invest at least 80% of its assets in the component securities of the underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index is based on a traditional market capitalization-weighted parent index, the MSCI USA Index.;17354;18458;2200;2200
VCIT;Vanguard Intermediate-Term Corporate Bond ETF;Fixed Income;4,888E+13;86400;18686999;778;8426;808342;8035;USD;Corporate Bond;-34746;55779;The fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. 5-10 Year Corporate Bond Index. This index includes U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by U.S. and non-U.S. industrial, utility, and financial companies, with maturities between 5 and 10 years. Under normal circumstances, at least 80% of the fund's assets will be invested in bonds included in the index.;8048;8049;200;100
VT;Vanguard Total World Stock ETF;Equity;4,306E+13;86400;376234;10344;12364;12016;12196;USD;Global Large-Stock Blend;8759949;1051818;The fund employs an indexing investment approach designed to track the performance of the FTSE Global All Cap Index. The advisor attempts to sample the target index by investing all, or substantially all, of its assets in common stocks in the index and by holding a representative sample of securities that resembles the full index in terms of key risk factors and other characteristics.;1205;12125;800;2900
QQQM;Invesco NASDAQ 100 ETF;Equity;4,268E+13;86400;361131;16996;22192;2133322;21807;USD;Large Growth;1532287;;The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. (“Nasdaq” or the “index provider”) compiles, maintains and calculates the underlying index, which includes securities of 100 of the largest domestic and international nonfinancial companies listed on The Nasdaq Stock Market LLC based on market capitalization. It is non-diversified.;21315;21347;100;100
SCHF;Schwab International Equity ETF;Equity;4,226E+13;86400;459459;1808;4066;190538;1935;USD;Foreign Large Blend;423647;57957303;"The index is comprised of large and mid capitalization companies in developed countries outside the United States, as defined by the index provider. The index defines the large and mid capitalization universe as approximately the top 90% of the eligible universe. The fund will invest at least 90% of its net assets in stocks, including depositary receipts representing securities of the index; such depositary receipts may be in the form of American Depositary Receipts, Global Depositary Receipts and European Depositary Receipts.";1884;193;3000;47300
VV;Vanguard Large-Cap ETF;Equity;4,211E+13;86400;394142;2253;28158;2752532;28033;USD;Large Blend;1303422;1485063;The fund employs an indexing investment approach designed to track the performance of the CRSP US Large Cap Index, a broadly diversified index of large U.S. companies representing approximately the top 85% of the U.S. market capitalization. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.;27632;28222;800;800
IWB;iShares Russell 1000 ETF;Equity;4,06E+13;86400;403837;26924;33661;3291032;33524597;USD;Large Blend;1271381;14546171;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;32944;33037;800;800
MUB;iShares National Muni Bond ETF;Fixed Income;4,052E+13;86400;-24402;1050;10881;1069652;10618062;USD;Muni National Interm;11441;69934;The underlying index includes municipal bonds, the interest of which is exempt from Federal income taxes and not subject to alternative minimum tax. The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index.;1064;10645;3100;1100
IWR;iShares Russell Midcap ETF;Equity;4,036E+13;86400;478507;7649;9601;916984;9262948;USD;Mid-Cap Blend;8391151;104280196;The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;908;920;1200;1000
XLV;Health Care Select Sector SPDR Fund;Equity;3,934E+13;86400;489932;13595;15964;1422088;14435005;USD;Health;545692;881259;"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified.";14725;14794;1200;1100
VEU;Vanguard FTSE All-World ex-US Index Fund;Equity;3,918E+13;86400;369274;5486;6381;588146;5951;USD;Foreign Large Blend;33413302;515765;The fund employs an indexing investment approach designed to track the performance of the FTSE All-World ex US Index. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;5732;594;4000;3100
IXUS;iShares Core MSCI Total International Stock ETF;Equity;3,903E+13;86400;365891;633;7353;677454;6843508;USD;Foreign Large Blend;307733;49433798;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization weighted index designed to measure the combined equity market performance of developed and emerging markets countries, excluding the United States.;657;6769;100;200
SCHG;Schwab U.S. Large-Cap Growth ETF;Equity;3,899E+13;86400;369573;2168;2914;282338;2889;USD;Large Growth;1777805;1959576;"To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Growth Total Stock Market Index. The index includes the large-cap growth portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Growth Total Stock Market Index includes the components ranked 1-750 by full market capitalization and that are classified as ""growth"" based on a number of factors.";2839;2826;40700;45900
JEPI;JPMorgan Equity Premium Income ETF;Equity;3,882E+13;86400;272901;5477;6088;589652;59087;USD;Derivative Income;87130696;;The fund seeks to achieve this objective by (1) creating an actively managed portfolio of equity securities comprised significantly of those included in the fund’s primary benchmark, the Standard & Poor’s 500 Total Return Index (S&P 500 Index) and (2) through equity-linked notes (ELNs), selling call options with exposure to the S&P 500 Index.;586;5886;3000;800
DIA;SPDR Dow Jones Industrial Average ETF Trust;Equity;3,81E+13;86400;441502;37614;45155;4372488;4442306;USD;Large Value;1095207;109942;The Trust’s Portfolio consists of substantially all of the component common stocks that comprise the DJIA, which are weighted in accordance with the terms of the Trust Agreement.;44568;44574;800;900
BIL;SPDR Bloomberg 1-3 Month T-Bill ETF;Fixed Income;3,681E+13;86400;28437001;9129;9183;915764;9168502;USD;Ultrashort Bond;392991;238122;The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to 1 month and less than 3 months.;9145;9147;301800;300400
MBB;iShares MBS ETF;Fixed Income;3,666E+13;86400;-3272;8916;9676;921936;9166791;USD;Intermediate Government;-162981;-85752;The fund will invest at least 80% of its assets in the component securities of the underlying index and TBAs that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the index.;918;9483;100;100
VTEB;Vanguard Tax-Exempt Bond ETF;Fixed Income;3,612E+13;86400;-25933;4949;5117;503392;4998;USD;Muni National Interm;8417;70583997;This index includes municipal bonds from issuers that are primarily state or local governments or agencies whose interest is exempt from U.S. federal income taxes and the federal alternative minimum tax (AMT). All of the fund's investments will be selected through the sampling process, and at least 80% of the fund's assets will be invested in securities held in the index.;4947;501;29200;3000
IVE;iShares S&P 500 Value ETF;Equity;3,597E+13;86400;27609;17301;20663;1966086;19620169;USD;Large Value;1105325;1093021;The index measures the performance of the large-capitalization value sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;19556;19559;800;800
SPYG;SPDR Portfolio S&P 500 Growth ETF;Equity;3,55E+13;86400;468714;6848;9276;890338;9201856;USD;Large Growth;13797459;17211479;The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index measures the performance of the large-capitalization growth segment of the U.S. equity market. It is non-diversified.;900;8955;800;1100
IAU;iShares Gold Trust;Commodity;3,512E+13;86400;565542;3753;5344;504012;5241116;USD;Commodities Focused;1432228;1173184;The Trust seeks to reflect such performance before payment of the Trust’s expenses and liabilities. It is not actively managed. The Trust does not engage in any activities designed to obtain a profit from, or to ameliorate losses caused by, changes in the price of gold. The advisor intends to constitute a simple and cost-effective means of making an investment similar to an investment in gold. An investment in physical gold requires expensive and sometimes complicated arrangements in connection with the assay, transportation, warehousing and insurance of the metal.;5315;5311;21500;4000
VNQ;Vanguard Real Estate ETF;Equity;3,507E+13;86400;18298201;7827;9958;91841;9075;USD;Real Estate;-10682699;275982;The advisor attempts to track the index by investing all, or substantially all, of its assets-either directly or indirectly through a wholly owned subsidiary, which is itself a registered investment company-in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.;9045;9062;800;1000
VCSH;Vanguard Short-Term Corporate Bond ETF;Fixed Income;3,505E+13;86400;32047;7627;7954;782184;7822;USD;Short-Term Bond;207405;186214;The fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. 1-5 Year Corporate Bond Index. This index includes U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by U.S. and non-U.S. industrial, utility, and financial companies, with maturities between 1 and 5 years. Under normal circumstances, at least 80% of the fund's assets will be invested in bonds included in the index.;7808;7813;500;200
DFAC;Dimensional U.S. Core Equity 2 ETF;Equity;3,39E+13;86400;40474102;2944;3666;355498;359947;USD;Large Blend;1145059;135769;The fund is designed to purchase a broad and diverse group of equity securities of U.S. companies. As a non-fundamental policy, under normal circumstances, the fund will invest at least 80% of its net assets in equity securities of U.S. companies. The fund may purchase or sell futures contracts and options on futures contracts for U.S. equity securities and indices, to increase or decrease equity market exposure based on actual or expected cash inflows to or outflows from the Portfolio.;3348;3563;1200;3200
SCHB;Schwab U.S. Broad Market ETF;Equity;3,381E+13;86400;396476;18983334;6477;231936;236;USD;Large Blend;1243869;1428762;To pursue its goal, the fund generally invests in stocks that are included in the index. The index includes the largest 2,500 publicly traded U.S. companies for which pricing information is readily available. The fund will invest at least 90% of its net assets in these stocks. It may invest up to 10% of its net assets in securities not included in the index.;2327;2336;36100;3100
XLE;Energy Select Sector SPDR Fund;Equity;3,344E+13;86400;659584;8241;9897;902964;9132126;USD;Equity Energy;1743766;1501873;"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.";883;8855;800;1000
BSV;Vanguard Short-Term Bond ETF;Fixed Income;3,307E+13;86400;15530001;7572;7902;77383;7737;USD;Short-Term Bond;123571;12161;This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 1 and 5 years and are publicly issued. All of the fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index.;770;776;4000;1300
VBR;Vanguard Small Cap Value ETF;Equity;3,243E+13;86400;426885;17332;21901;2058788;20662;USD;Small Value;883539;1094219;The fund advisor employs an indexing investment approach designed to track the performance of the CRSP US Small Cap Value Index, a broadly diversified index of value stocks of small U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;20243;20253;800;800
IUSB;iShares Core Total USD Bond Market ETF;Fixed Income;3,237E+13;86400;15487;4421;4744;45479;4524997;USD;Intermediate Core-Plus Bond;-128028;-16293;The fund will invest at least 80% of its assets in the component securities of the underlying index and to-be-announced transactions (“TBAs”) that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index. The index measures the performance of U.S. dollar-denominated taxable bonds that are rated either investment-grade or high yield.;4532;4533;200;200
SGOV;iShares 0-3 Month Treasury Bond ETF;Fixed Income;3,228E+13;86400;28907;10015;10075;1004574;10060848;USD;Ultrashort Bond;408147;;The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of less than or equal to three months.;10034;10034;396000;38800
IEF;iShares 7-10 Year Treasury Bond ETF;Fixed Income;3,209E+13;86400;2163;9102;9918;93193;9242428;USD;Long Government;-377258;-18467799;The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to seven years and less than ten years. The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index.;9279;9281;1500;1300
DGRO;iShares Core Dividend Growth ETF;Equity;3,16E+13;86400;324421;5431;6508;628144;6332509;USD;Large Value;870234;1098409;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is a subset of the Morningstar® U.S. Market IndexSM, which is a broad market index that represents approximately 97% of the market capitalization of publicly-traded U.S. stocks.;6321;6411;1800;3100
